1,2,3
45,108,1
53,89,1
54,128,1
57,107,1
57,98,1
59,123,1
60,97,1
60,110,1
60,104,1
61,110,1
63,115,1
63,99,1
64,116,1
65,106,1
66,114,1
66,113,1
67,111,1
67,110,1
67,119,1
68,81,1
68,93,1
68,101,1
69,101,1
69,100,1
69,74,1
69,124,1
69,136,1
71,122,1
71,84,1
73,104,1
73,109,1
73,119,1
74,93,1
74,97,1
74,136,1
75,99,1
75,129,1
75,88,1
76,120,1
76,101,1
76,98,1
76,93,1
76,112,1
76,108,1
77,117,1
77,133,1
77,86,1
78,86,1
78,107,1
78,138,1
78,91,1
78,110,1
79,121,1
79,77,1
79,129,1
79,99,1
80,117,1
80,100,1
80,124,1
81,103,1
81,93,1
82,114,1
83,97,1
83,82,1
83,94,1
84,114,1
84,90,1
84,123,1
84,112,1
84,104,1
84,107,1
84,121,1
85,96,1
85,110,1
85,85,1
86,101,1
86,97,1
86,105,1
87,88,1
87,113,1
87,100,1
87,83,1
88,101,1
89,89,1
89,95,1
89,74,1
90,92,1
90,90,1
90,122,1
90,120,1
91,96,1
91,105,1
92,96,1
93,103,1
93,101,1
94,112,1
94,105,1
94,132,1
95,115,1
95,128,1
96,80,1
96,103,1
96,90,1
96,110,1
97,98,1
97,115,1
97,118,1
98,90,1
98,91,1
98,126,1
99,110,1
100,96,1
101,107,1
102,96,1
102,94,1
102,61,2
102,105,1
103,112,1
103,90,1
103,95,1
104,52,2
104,39,2
104,114,1
106,47,2
106,48,2
107,118,1
107,89,1
108,85,1
108,131,1
110,53,2
111,56,2
112,37,2
113,39,2
114,29,2
114,44,2
114,52,2
114,41,2
115,61,2
115,25,2
115,112,1
116,54,2
116,101,1
116,52,2
117,49,2
117,25,2
118,45,2
118,24,2
119,44,2
119,33,2
119,50,2
119,19,2
119,68,2
120,51,2
120,38,2
122,19,2
122,42,2
124,53,2
124,41,2
125,29,2
125,59,2
126,63,2
126,48,2
126,32,2
126,52,2
126,38,2
126,45,2
127,29,2
127,48,2
128,24,2
128,43,2
128,71,2
129,41,2
129,31,2
129,58,2
129,21,2
130,17,2
130,41,2
131,31,2
131,23,2
133,29,2
133,60,2
133,38,2
133,58,2
134,58,2
134,53,2
135,32,2
135,65,2
135,51,2
136,51,2
136,44,2
137,27,2
137,44,2
137,39,2
137,24,2
138,19,2
138,41,2
138,66,2
138,49,2
140,30,2
141,21,2
142,38,2
142,52,2
145,42,2
145,34,2
145,27,2
146,56,2
146,48,2
147,36,2
147,42,2
147,52,2
147,20,2
148,40,2
148,47,2
150,53,2
151,32,2
153,51,2
153,24,2
154,45,2
155,35,2
172,253,3
173,230,3
176,245,3
176,268,3
179,239,3
179,224,3
179,215,3
181,234,3
182,262,3
182,264,3
182,233,3
183,245,3
183,273,3
183,235,3
184,264,3
184,209,3
184,255,3
185,221,3
185,253,3
186,212,3
186,233,3
187,265,3
187,227,3
187,238,3
187,225,3
188,255,3
188,248,3
188,233,3
188,246,3
188,225,3
189,220,3
189,263,3
189,229,3
189,218,3
189,226,3
190,214,3
190,257,3
190,268,3
191,264,3
191,220,3
192,237,3
192,255,3
192,216,3
193,219,3
193,213,3
193,233,3
194,248,3
194,274,3
194,271,3
195,229,3
195,230,3
195,249,3
195,259,3
195,247,3
195,223,3
196,232,3
196,247,3
197,221,3
197,243,3
197,240,3
197,254,3
197,268,3
199,223,3
199,243,3
199,236,3
199,203,3
199,271,3
199,220,3
199,257,3
200,228,3
200,261,3
200,275,3
200,219,3
200,208,3
201,224,3
201,278,3
201,234,3
201,263,3
202,254,3
202,272,3
202,215,3
202,231,3
202,255,3
202,239,3
203,258,3
203,228,3
203,212,3
204,275,3
204,279,3
204,202,3
204,257,3
204,247,3
205,238,3
205,208,3
205,222,3
205,275,3
206,276,3
206,252,3
206,226,3
206,208,3
206,266,3
207,273,3
207,228,3
207,233,3
207,243,3
207,234,3
207,232,3
207,229,3
208,222,3
208,259,3
208,265,3
208,252,3
209,245,3
209,226,3
210,220,3
210,251,3
210,279,3
210,276,3
211,250,3
211,255,3
211,222,3
211,203,3
211,245,3
212,217,3
212,209,3
212,259,3
213,242,3
213,270,3
213,210,3
213,264,3
214,222,3
214,232,3
214,236,3
214,217,3
215,253,3
215,235,3
215,226,3
215,260,3
216,212,3
216,232,3
216,214,3
216,246,3
216,239,3
216,216,3
216,241,3
218,244,3
218,245,3
218,224,3
218,218,3
218,235,3
218,213,3
219,205,3
219,248,3
219,222,3
219,244,3
220,258,3
220,202,3
220,224,3
220,269,3
221,204,3
221,255,3
221,261,3
222,249,3
223,256,3
223,213,3
223,235,3
223,227,3
223,229,3
224,264,3
224,241,3
224,225,3
224,268,3
225,239,3
225,255,3
225,267,3
225,244,3
225,252,3
225,235,3
226,213,3
226,218,3
227,245,3
227,221,3
227,220,3
228,236,3
228,214,3
228,250,3
228,212,3
229,234,3
229,257,3
229,248,3
229,230,3
229,217,3
230,212,3
230,219,3
231,258,3
231,232,3
232,233,3
233,244,3
