1,2,3
131,150,1
131,143,1
132,145,1
133,146,1
136,144,1
137,152,1
138,142,1
139,140,1
140,151,1
140,148,1
141,147,1
142,144,1
142,150,1
143,147,1
143,249,2
144,149,1
144,147,1
144,144,1
144,240,2
144,141,1
145,147,1
145,151,1
145,237,2
146,142,1
147,145,1
148,226,2
149,238,2
149,236,2
149,234,2
149,152,1
150,144,1
150,146,1
151,234,2
151,144,1
152,142,1
152,152,1
153,149,1
153,148,1
153,240,2
154,144,1
154,244,2
154,147,1
154,156,1
155,144,1
155,156,1
155,142,1
156,147,1
156,234,2
156,145,1
156,237,2
157,249,2
157,153,1
158,153,1
158,233,2
158,147,1
158,154,1
158,149,1
158,237,2
158,152,1
159,235,2
159,144,1
159,237,2
159,145,1
160,150,1
160,237,2
160,242,2
160,145,1
161,150,1
161,241,2
161,153,1
162,154,1
163,148,1
163,152,1
164,152,1
164,237,2
164,240,2
164,242,2
164,150,1
164,155,1
165,149,1
165,145,1
165,238,2
165,243,2
165,240,2
165,233,2
166,152,1
166,153,1
167,145,1
167,232,2
168,151,1
168,154,1
168,152,1
169,146,1
169,154,1
169,143,1
169,144,1
169,150,1
169,235,2
170,152,1
170,244,2
170,242,2
171,152,1
171,228,2
171,238,2
171,148,1
171,153,1
173,233,2
173,150,1
173,240,2
173,146,1
174,151,1
174,240,2
174,154,1
174,238,2
175,153,1
175,156,1
175,236,2
175,235,2
175,241,2
175,240,2
175,145,1
175,144,1
175,146,1
176,152,1
176,148,1
176,232,2
176,238,2
177,145,1
177,149,1
178,153,1
178,225,2
178,252,2
179,151,1
179,236,2
179,244,2
179,240,2
180,237,2
180,240,2
180,153,1
180,238,2
180,242,2
180,150,1
181,156,1
181,240,2
181,155,1
181,239,2
182,153,1
182,155,1
183,244,2
183,159,1
183,145,1
183,240,2
183,243,2
183,241,2
184,148,1
184,155,1
184,157,1
184,152,1
184,149,1
184,239,2
185,237,2
185,150,1
185,244,2
185,145,1
185,242,2
185,148,1
186,240,2
186,251,2
186,241,2
186,153,1
186,230,2
186,151,1
186,245,2
187,240,2
187,148,1
187,146,1
187,153,1
187,242,2
187,151,1
188,154,1
188,242,2
188,240,2
189,150,1
189,153,1
190,153,1
191,238,2
191,240,2
191,148,1
191,243,2
191,149,1
191,151,1
191,152,1
191,146,1
191,242,2
192,150,1
192,153,1
193,235,2
193,154,1
193,148,1
193,248,2
194,148,1
194,239,2
194,147,1
194,145,1
194,150,1
194,154,1
194,153,1
195,240,2
195,143,1
195,150,1
195,243,2
195,116,3
195,248,2
196,239,2
196,238,2
196,146,1
197,230,2
197,236,2
197,235,2
197,241,2
197,149,1
197,249,2
197,152,1
198,237,2
198,110,3
198,239,2
198,244,2
198,100,3
199,146,1
199,153,1
200,240,2
200,157,1
200,242,2
200,150,1
200,104,3
200,241,2
200,153,1
200,112,3
201,243,2
201,153,1
201,150,1
201,238,2
202,238,2
202,240,2
202,241,2
202,195,4
202,237,2
202,188,4
202,153,1
202,152,1
202,197,4
203,102,3
203,108,3
203,193,4
203,233,2
203,242,2
203,192,4
203,239,2
203,195,4
203,148,1
203,105,3
203,245,2
204,188,4
204,253,2
204,152,1
204,246,2
204,237,2
204,198,4
204,200,4
204,153,1
205,149,1
205,202,4
205,150,1
205,151,1
205,154,1
205,153,1
205,194,4
205,96,3
205,192,4
205,236,2
205,102,3
205,186,4
206,236,2
206,199,4
206,188,4
206,102,3
206,154,1
207,96,3
207,104,3
207,239,2
207,152,1
207,242,2
207,190,4
207,149,1
207,108,3
207,240,2
207,198,4
207,188,4
208,243,2
208,153,1
208,240,2
208,210,4
208,93,3
208,151,1
208,204,4
208,94,3
208,226,2
208,101,3
208,148,1
209,151,1
209,237,2
209,204,4
209,105,3
209,150,1
210,189,4
210,157,1
210,152,1
210,198,4
210,196,4
210,107,3
210,112,3
210,240,2
210,235,2
210,110,3
211,102,3
211,151,1
211,240,2
211,157,1
211,192,4
211,155,1
211,98,3
212,185,4
212,150,1
212,190,4
212,242,2
212,147,1
213,114,3
213,194,4
213,111,3
213,196,4
213,199,4
213,201,4
213,202,4
213,195,4
213,240,2
213,245,2
213,239,2
214,155,1
214,198,4
214,150,1
214,197,4
214,191,4
214,237,2
214,234,2
214,148,1
214,96,3
214,239,2
214,152,1
215,148,1
215,97,3
215,107,3
215,102,3
215,240,2
215,193,4
215,114,3
215,110,3
215,204,4
215,158,1
215,108,3
216,195,4
216,103,3
216,150,1
216,155,1
216,188,4
216,151,1
216,240,2
216,105,3
216,149,1
216,239,2
216,191,4
217,104,3
217,153,1
217,201,4
217,190,4
217,243,2
217,248,2
217,150,1
218,191,4
218,197,4
218,156,1
218,102,3
218,241,2
218,237,2
218,236,2
218,91,3
218,104,3
219,192,4
219,235,2
219,152,1
219,151,1
219,190,4
219,197,4
219,248,2
219,108,3
219,106,3
220,153,1
220,155,1
220,103,3
220,150,1
220,147,1
220,151,1
220,199,4
220,241,2
220,246,2
220,98,3
220,239,2
220,149,1
221,154,1
221,199,4
221,96,3
221,153,1
221,156,1
221,149,1
221,194,4
221,245,2
221,239,2
222,109,3
222,197,4
222,242,2
222,190,4
222,240,2
222,191,4
222,246,2
222,147,1
222,153,1
222,151,1
223,100,3
223,196,4
223,158,1
223,99,3
223,240,2
223,102,3
223,96,3
223,192,4
223,149,1
223,145,1
224,106,3
224,201,4
224,200,4
224,103,3
224,99,3
224,101,3
224,206,4
224,154,1
224,244,2
225,106,3
225,205,4
225,153,1
225,151,1
225,101,3
225,102,3
225,142,1
225,144,1
225,103,3
225,235,2
225,199,4
225,189,4
226,240,2
226,156,1
226,192,4
226,204,4
226,149,1
226,242,2
226,105,3
226,197,4
226,200,4
227,198,4
227,206,4
227,236,2
227,154,1
227,199,4
227,202,4
227,150,1
227,94,3
227,242,2
227,190,4
227,108,3
